Sample,group,depth,country,BioProject
SRR13427967,oil,850,Canada,PRJNA691618
SRR13427968,oil,850,Canada,PRJNA691618
SRR13427969,oil,850,Canada,PRJNA691618
SRR13427970,oil,850,Canada,PRJNA691618
SRR13427971,oil,850,Canada,PRJNA691618
SRR10302630,oil,3350,USA,PRJNA578106
SRR10302631,oil,3350,USA,PRJNA578106
SRR10302632,oil,3350,USA,PRJNA578106
SRR10302633,oil,3350,USA,PRJNA578106
SRR12344465,oil,1450,USA,PRJNA613490
SRR12344466,oil,1450,USA,PRJNA613490
SRR12344468,oil,1450,USA,PRJNA613490
CRR933400,oil,1060,Kazakhstan,PRJCA020971
CRR933435,oil,989.1,China,PRJCA020971
CRR933436,oil,1009.4,China,PRJCA020971
CRR933437,oil,1039.55,China,PRJCA020971
CRR933404,oil,1009.4,China,PRJCA020971
CRR933438,oil,1213.8,China,PRJCA020971
CRR933443,oil,1096.6,China,PRJCA020971
CRR933405,oil,986.5,China,PRJCA020971
CRR933439,oil,1069.6,China,PRJCA020971
CRR933440,oil,1053.6,China,PRJCA020971
CRR933441,oil,1024,China,PRJCA020971
CRR933406,oil,1034,China,PRJCA020971
CRR933442,oil,1024,China,PRJCA020971
CRR933407,oil,1039.55,China,PRJCA020971
CRR933321,oil,1000,China,PRJCA020971
CRR933322,oil,1000,China,PRJCA020971
CRR933323,oil,1000,China,PRJCA020971
CRR933431,oil,1067,China,PRJCA020971
CRR933432,oil,1067,China,PRJCA020971
CRR933433,oil,1067,China,PRJCA020971
CRR933434,oil,1067,China,PRJCA020971
CRR933408,oil,1590,China,PRJCA020971
CRR933409,oil,1781,China,PRJCA020971
CRR933411,oil,1570,China,PRJCA020971
CRR933412,oil,1711,China,PRJCA020971
CRR933413,oil,1505,China,PRJCA020971
CRR933410,oil,1513,China,PRJCA020971
CRR933414,oil,1700,China,PRJCA020971
CRR933415,oil,1646,China,PRJCA020971
CRR933416,oil,1645,China,PRJCA020971
CRR933325,oil,1170,China,PRJCA020971
CRR933417,oil,1253.4,China,PRJCA020971
CRR933393,oil,1600,China,PRJCA020971
CRR933418,oil,1355.95,China,PRJCA020971
CRR933419,oil,1538,China,PRJCA020971
CRR933394,oil,1355.95,China,PRJCA020971
CRR933395,oil,1324.45,China,PRJCA020971
CRR933420,oil,1530,China,PRJCA020971
CRR933319,oil,1350,China,PRJCA020971
CRR933318,oil,1350,China,PRJCA020971
CRR933320,oil,1357,China,PRJCA020971
CRR933427,oil,1091.26,China,PRJCA020971
CRR933396,oil,1920,China,PRJCA020971
CRR933426,oil,2900,China,PRJCA020971
CRR933399,oil,476,Kazakhstan,PRJCA020971
CRR933401,oil,399.185,Kazakhstan,PRJCA020971
CRR933324,oil,350,China,PRJCA020971
CRR933402,oil,340,China,PRJCA020971
CRR933403,oil,340,China,PRJCA020971
CRR933397,oil,149,China,PRJCA020971
CRR933428,oil,142.75,China,PRJCA020971
CRR933429,oil,153.5,China,PRJCA020971
CRR933398,oil,399.185,China,PRJCA020971
CRR933430,oil,397.75,China,PRJCA020971
CRR933421,oil,167.8,China,PRJCA020971
CRR933422,oil,167.8,China,PRJCA020971
CRR933423,oil,253.9,China,PRJCA020971
CRR933424,oil,379,China,PRJCA020971
CRR933425,oil,167.8,China,PRJCA020971
Unknown_BV499.003R0001_good,oil,1000,China,PRJCA047381
Unknown_BV499.003R0002_good,oil,1000,China,PRJCA047381
Unknown_BV499.003R0003_good,oil,1000,China,PRJCA047381
Unknown_BV499.003R0004_good,oil,1000,China,PRJCA047381
Unknown_BV499.003R0006_good,oil,2000,China,PRJCA047381
Unknown_BV499.003R0007_good,oil,2000,China,PRJCA047381
Unknown_BV499.003R0009_good,oil,2000,China,PRJCA047381
SRR24974065,mine,700,USA,PRJNA248749
SRR24974067,mine,700,USA,PRJNA248749
SRR24974068,mine,700,USA,PRJNA248749
SRR24974070,mine,700,USA,PRJNA248749
SRR24974071,mine,700,USA,PRJNA248749
SRR21291827,mine,785.7,USA,PRJNA874672
SRR21291828,mine,681.3,USA,PRJNA874672
SRR21291829,mine,603.5,USA,PRJNA874672
SRR21291830,mine,598.4,USA,PRJNA874672
SRR21291831,mine,582.6,USA,PRJNA874672
SRR21291832,mine,519.4,USA,PRJNA874672
SRR1290764,mine,800,Canada,PRJNA183510
SRR1290767,mine,800,Canada,PRJNA183510
SRR1290769,mine,800,Canada,PRJNA183510
SRR1290771,mine,800,Canada,PRJNA183510
SRR1290772,mine,800,Canada,PRJNA183510
SRR1290774,mine,800,Canada,PRJNA183510
SRR942928,mine,800,Canada,PRJNA183510
SRR943316,mine,800,Canada,PRJNA183510
SRR943317,mine,800,Canada,PRJNA183510
SRR943318,mine,800,Canada,PRJNA183510
SRR943319,mine,800,Canada,PRJNA183510
SRR943320,mine,800,Canada,PRJNA183510
SRR21291833,mine,365.76,USA,PRJNA874672
SRR21291834,mine,242.94,USA,PRJNA874672
SRR13192682,mine,400,China,PRJNA682244
SRR13192683,mine,400,China,PRJNA682244
SRR13192684,mine,400,China,PRJNA682244
Unknown_BV499.008R0001_good,mine,900,China,PRJCA047381
Unknown_BV499.008R0002_good,mine,900,China,PRJCA047381
Unknown_BV499.008R0003_good,mine,900,China,PRJCA047381
Unknown_BV499.008R0004_good,mine,900,China,PRJCA047381
Unknown_BV499.008R0005_good,mine,900,China,PRJCA047381
Uti22014_10_10,shale,1000,USA,JCR
Uti22014_10_11_2,shale,1000,USA,JCR
Uti22014_10_12,shale,1000,USA,JCR
Uti22014_10_16,shale,1000,USA,JCR
Uti22014_10_18_2,shale,1000,USA,JCR
Uti22014_10_20_2,shale,1000,USA,JCR
Uti22014_10_22_2,shale,1000,USA,JCR
Uti22014_11_19,shale,1000,USA,JCR
Uti22014_12_17,shale,1000,USA,JCR
Uti2S2014_11_5_2,shale,1000,USA,JCR
Uti2S2014_12_3,shale,1000,USA,JCR
Uti2S2014_1_29,shale,1000,USA,JCR
Uti2S2015_5_14,shale,1000,USA,JCR
Uti2Se2015_1_7,shale,1000,USA,JCR
Uti2Se2015_2_5,shale,1000,USA,JCR
Uti3w1S1Day122,shale,1000,USA,JCR
Uti3we1S1Day17,shale,1000,USA,JCR
Uti3we1S1Day23,shale,1000,USA,JCR
Uti3we1S1Day59,shale,1000,USA,JCR
Uti3we1S1Day87,shale,1000,USA,JCR
Uti3wel1S1Day1,shale,1000,USA,JCR
Uti3wel1S1Day9,shale,1000,USA,JCR
SRR23823873,shale,1890,USA,PRJNA308326
SRR23823872,shale,1890,USA,PRJNA308326
SRR23823861,shale,1890,USA,PRJNA308326
SRR23823850,shale,1890,USA,PRJNA308326
SRR23823839,shale,1890,USA,PRJNA308326
SRR23823828,shale,1890,USA,PRJNA308326
SRR23823817,shale,1890,USA,PRJNA308326
SRR23823806,shale,1890,USA,PRJNA308326
SRR23823797,shale,1890,USA,PRJNA308326
SRR23823796,shale,1890,USA,PRJNA308326
SRR23823871,shale,1890,USA,PRJNA308326
SRR23823870,shale,1890,USA,PRJNA308326
SRR23823869,shale,1890,USA,PRJNA308326
SRR23823868,shale,1890,USA,PRJNA308326
SRR23823867,shale,1890,USA,PRJNA308326
SRR23823866,shale,1890,USA,PRJNA308326
SRR23823865,shale,1890,USA,PRJNA308326
SRR23823864,shale,1890,USA,PRJNA308326
SRR23823863,shale,1890,USA,PRJNA308326
SRR23823862,shale,1890,USA,PRJNA308326
SRR23823860,shale,1890,USA,PRJNA308326
SRR23823859,shale,1890,USA,PRJNA308326
SRR23823858,shale,1890,USA,PRJNA308326
SRR23823857,shale,1890,USA,PRJNA308326
SRR23823856,shale,1890,USA,PRJNA308326
SRR23823855,shale,1890,USA,PRJNA308326
SRR23823854,shale,1890,USA,PRJNA308326
SRR23823853,shale,1890,USA,PRJNA308326
SRR23823852,shale,1890,USA,PRJNA308326
SRR23823851,shale,1890,USA,PRJNA308326
SRR23823849,shale,1890,USA,PRJNA308326
SRR23823848,shale,1890,USA,PRJNA308326
SRR23823847,shale,1890,USA,PRJNA308326
SRR23823846,shale,1890,USA,PRJNA308326
SRR23823845,shale,1890,USA,PRJNA308326
SRR23823844,shale,1890,USA,PRJNA308326
SRR23823843,shale,1890,USA,PRJNA308326
SRR23823842,shale,1890,USA,PRJNA308326
SRR23823841,shale,1890,USA,PRJNA308326
SRR23823840,shale,1890,USA,PRJNA308326
SRR23823838,shale,1890,USA,PRJNA308326
SRR23823837,shale,1890,USA,PRJNA308326
SRR23823836,shale,1890,USA,PRJNA308326
SRR23823835,shale,1890,USA,PRJNA308326
SRR23823834,shale,1890,USA,PRJNA308326
SRR5279630,shale,2700,China,PRJNA287481
SRR5279631,shale,2700,China,PRJNA287481
SRR1539101,shale,226,Switzerland,PRJNA257561
SRR6515492,shale,366.7,Finland,PRJNA404452
SRR6516019,shale,366.7,Finland,PRJNA404453
SRR6976411,shale,366.7,Finland,PRJNA444021
SRR9644739,shale,366.7,Finland,PRJNA472439
SRR9644740,shale,366.7,Finland,PRJNA472439
SRR9644741,shale,366.7,Finland,PRJNA472439
SRR9644742,shale,366.7,Finland,PRJNA472439
SRR7193715,shale,366.7,Finland,PRJNA472439
SRR24974066,mine,700,USA,PRJNA248749
SRR7517648,mine,607,Spain,PRJNA476489
SRR7517649,mine,420,Spain,PRJNA476489
