,ID,Bin,TaxonRelativeAbundance,Domain,Phylum,Class,Order,Family,Genus,Species
1737,Sg_CRR933435_bin.16,Bin6,8.65E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Saliniramus,Unassigned
1738,Sg_CRR933435_bin.18,Bin66,4.02E-06,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,2-12-FULL-66-21,JACDCA01,Unassigned
1739,Sg_CRR933435_bin.19,Bin32,8.15E-06,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Alishewanella,Unassigned
1740,Sg_CRR933435_bin.2,Bin13,3.56E-06,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aliihoeflea,Unassigned
1741,Sg_CRR933435_bin.20,Bin24,0.000110853,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pararhodobacter,Unassigned
1742,Sg_CRR933435_bin.21,Bin66,2.16E-05,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,PNKE01,Unassigned
1743,Sg_CRR933435_bin.22,Bin48,1.51E-05,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ramlibacter,Unassigned
1744,Sg_CRR933435_bin.24,Bin104,2.68E-06,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,SZUA-35,Unassigned,Unassigned
1745,Sg_CRR933435_bin.27,Bin114,6.06E-06,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea sp016861025
1746,Sg_CRR933435_bin.28,Bin30,7.85E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Neoroseomonas,Unassigned
1747,Sg_CRR933435_bin.29,Bin39,5.27E-05,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Ketobacteraceae,Ch67,Unassigned
1748,Sg_CRR933435_bin.30,Bin14,1.50E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Tepidamorphaceae,Tepidamorphus,Unassigned
1749,Sg_CRR933435_bin.31,Bin108,1.21E-05,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Unassigned
1750,Sg_CRR933435_bin.35,Bin9,4.89E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudorhodoplanes,Unassigned
1751,Sg_CRR933435_bin.36,Bin13,2.68E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aliihoeflea,Aliihoeflea sp000497755
1752,Sg_CRR933435_bin.39,Bin10,3.69E-06,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium,Unassigned
1753,Sg_CRR933435_bin.4,Bin6,1.36E-06,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,JAJKJG01,Unassigned
1754,Sg_CRR933435_bin.40,Bin43,0.000111478,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sepilia
1755,Sg_CRR933435_bin.41,Bin104,2.30E-05,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,UBA8139,Unassigned,Unassigned
1756,Sg_CRR933435_bin.43,Bin69,6.94E-06,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Unassigned,Unassigned
1757,Sg_CRR933435_bin.44,Bin49,4.84E-05,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hylemonella,Hylemonella sp030680575
1758,Sg_CRR933435_bin.48,Bin111,8.09E-06,Bacteria,Actinomycetota,Thermoleophilia,Miltoncostaeales,Miltoncostaeaceae,Miltoncostaea,Unassigned
1759,Sg_CRR933435_bin.49,Bin48,1.48E-05,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ramlibacter,Unassigned
1760,Sg_CRR933435_bin.53,Bin15,2.47E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium_C,Unassigned
1761,Sg_CRR933435_bin.55,Bin117,4.76E-05,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,UBA5629,UBA6808,Unassigned
1762,Sg_CRR933435_bin.57,Bin106,4.61E-05,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Rhodoglobus,Unassigned
1763,Sg_CRR933435_bin.59,Bin8,0.00011677,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,P52-10,Unassigned
1764,Sg_CRR933435_bin.60,Bin106,3.45E-05,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microcella,Unassigned
1765,Sg_CRR933435_bin.62,Bin14,2.02E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Pseudoxanthobacteraceae,Pseudoxanthobacter,Unassigned
1766,Sg_CRR933435_bin.63,Bin12,1.98E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aquibium,Unassigned
1767,Sg_CRR933435_bin.64,Bin51,4.29E-06,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Unassigned
1768,Sg_CRR933435_bin.66,Bin78,2.11E-05,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,J093,JACKPV01,Unassigned
1769,Sg_CRR933435_bin.67,Bin108,1.08E-05,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Unassigned
1770,Sg_CRR933435_bin.68,Bin9,4.77E-06,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,JAFKKS01,Unassigned
1771,Sg_CRR933435_bin.7,Bin110,4.65E-06,Bacteria,Actinomycetota,Nitriliruptoria,Nitriliruptorales,Nitriliruptoraceae,Egicoccus,Unassigned
1772,Sg_CRR933435_bin.70,Bin102,3.22E-06,Bacteria,Actinomycetota,Geothermincolia,Geothermincolales,RBG-13-55-18,Solincola_B,Solincola_B sp014360645
1773,Sg_CRR933435_bin.71,Bin108,3.45E-05,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Unassigned
1774,Sg_CRR933435_bin.72,Bin9,6.76E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudorhodoplanes,Unassigned
1775,Sg_CRR933435_bin.73,Bin7,3.81E-06,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Phreatobacteraceae,Phreatobacter,Unassigned
1776,Sg_CRR933435_bin.74,Bin110,6.12E-06,Bacteria,Actinomycetota,Nitriliruptoria,Nitriliruptorales,Nitriliruptoraceae,Nitriliruptor,Unassigned
1777,Sg_CRR933435_bin.77,Bin46,2.13E-05,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Tepidicella,Tepidicella xavieri
1778,Sg_CRR933435_bin.84,Bin105,9.51E-06,Bacteria,Actinomycetota,Actinomycetes,S36-B12,S36-B12,UBA10649,Unassigned
1779,Sg_CRR933435_bin.86,Bin30,1.08E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Neoroseomonas,Neoroseomonas alkaliterrae
1780,Sg_CRR933435_bin.87,Bin111,4.25E-06,Bacteria,Actinomycetota,Thermoleophilia,Miltoncostaeales,Miltoncostaeaceae,Miltoncostaea,Unassigned
1781,Sg_CRR933435_bin.9,Bin51,1.33E-05,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Unassigned
1782,Sg_CRR933435_bin.91,Bin14,6.67E-06,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Kaistiaceae,Bauldia,Unassigned
1783,Sg_CRR933437_bin.1,Bin79,1.25E-05,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,JAEUIK01,JAIESQ01,Unassigned
1784,Sg_CRR933437_bin.10,Bin129,3.83E-06,Bacteria,Patescibacteria,Paceibacteria,UBA9973,UBA9973,UBA9973,Unassigned
1785,Sg_CRR933437_bin.100,Bin27,3.72E-06,Bacteria,Pseudomonadota,Alphaproteobacteria,UBA6615,UBA6615,SHWB01,Unassigned
1786,Sg_CRR933437_bin.101,Bin70,1.42E-06,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavitalea,Unassigned
1787,Sg_CRR933437_bin.102,Bin43,5.91E-06,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas_A,Unassigned
1788,Sg_CRR933437_bin.103,Bin106,4.52E-06,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Rhodoglobus,Unassigned
1789,Sg_CRR933437_bin.104,Bin5,2.23E-06,Bacteria,Pseudomonadota,Alphaproteobacteria,UBA11222,UBA11222,UBA11222,Unassigned
1790,Sg_CRR933437_bin.105,Bin43,2.94E-06,Bacteria,Pseudomonadota,Gammaproteobacteria,Ga0077536,Ga0077536,JADJYF01,Unassigned
1791,Sg_CRR933437_bin.106,Bin78,6.53E-05,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,ER46,Unassigned
1792,Sg_CRR933437_bin.107,Bin53,3.62E-05,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,SG8-41,Ga0077527,Unassigned
1793,Sg_CRR933437_bin.108,Bin80,4.06E-06,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Zrk34,Unassigned,Unassigned
1794,Sg_CRR933437_bin.109,Bin108,3.21E-05,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Marmoricola,Unassigned
1795,Sg_CRR933437_bin.11,Bin78,2.08E-06,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Parachlamydiaceae_A,Unassigned,Unassigned
1796,Sg_CRR933437_bin.110,Bin88,9.15E-06,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,Ga0077546,Unassigned
1797,Sg_CRR933437_bin.111,Bin14,2.42E-06,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,JAEUMG01,Unassigned
1798,Sg_CRR933437_bin.112,Bin43,4.69E-06,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,SCMT01,Unassigned
1799,Sg_CRR933437_bin.113,Bin17,1.20E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Parvularculaceae,CV81,Unassigned
1800,Sg_CRR933437_bin.114,Bin88,0.000147136,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,QKMZ01,Unassigned
1801,Sg_CRR933437_bin.115,Bin66,2.05E-06,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,CADEFT01,Unassigned
1802,Sg_CRR933437_bin.116,Bin80,2.14E-05,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,JAJTGZ01,Unassigned
1803,Sg_CRR933437_bin.117,Bin52,3.81E-06,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,SG8-39,CAMBSA01,Unassigned
1804,Sg_CRR933437_bin.118,Bin66,1.16E-05,Bacteria,Acidobacteriota,Blastocatellia,RBC074,RBC074,JACPYM01,Unassigned
1805,Sg_CRR933437_bin.119,Bin17,1.51E-06,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Unassigned
1806,Sg_CRR933437_bin.12,Bin8,1.76E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,Unassigned
1807,Sg_CRR933437_bin.120,Bin116,2.77E-06,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,UBA6265,Unassigned,Unassigned
1808,Sg_CRR933437_bin.121,Bin112,1.72E-06,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,UphvI-Ar2,Unassigned
1809,Sg_CRR933437_bin.122,Bin88,2.65E-06,Bacteria,Cyanobacteriota,Sericytochromatia,UBA7694,UBA7694,GCA-2770975,Unassigned
1810,Sg_CRR933437_bin.123,Bin17,1.16E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Unassigned
1811,Sg_CRR933437_bin.124,Bin19,1.04E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Unassigned
1812,Sg_CRR933437_bin.125,Bin103,1.24E-05,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,JACDCH01,UBA9382,Unassigned
1813,Sg_CRR933437_bin.126,Bin19,2.21E-05,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,JAEZEZ01,Unassigned
