MAG	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_SRR24974071_bin.9	Bacteria	Patescibacteria	Paceibacteria	UBA6257	UBA6257	DAOVIY01	
Sg_SRR29635772_bin.1	Bacteria	Patescibacteria	Paceibacteria	Moranbacterales	DUUL01		
Sg_SRR29635772_bin.10	Bacteria	Desulfobacterota	Desulfomonilia	Desulfomonilales	Desulfomonilaceae	JAVHLK01	
Sg_SRR29635772_bin.12	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tenuifilaceae	Tenuifilum	
Sg_SRR29635772_bin.13	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia sp005503145
Sg_SRR29635772_bin.15	Bacteria	Spirochaetota	UBA4802	UBA4802	UB4802	UBA4802	
Sg_SRR29635772_bin.16	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	Bellilinea sp026003615
Sg_SRR29635772_bin.17	Bacteria	Bacillota_E	UBA995	UBA995	UBA9673	CALMHV01	
Sg_SRR29635772_bin.18	Bacteria	Elusimicrobiota	Elusimicrobia	UBA1565	UBA9628	GWA2-66-18	
Sg_SRR29635772_bin.19	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Z2-YC6860	
Sg_SRR29635772_bin.21	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylovirgula	
Sg_SRR29635772_bin.22	Bacteria	Planctomycetota	Phycisphaerae	UBA1845	Fen-1342		
Sg_SRR29635772_bin.23	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Breznakiellaceae	Gracilinema	Gracilinema sp012517385
Sg_SRR29635772_bin.24	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	UBA4823	UBA4823	
Sg_SRR29635772_bin.27	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfatirhabdiaceae	Desulfatirhabdium	
Sg_SRR29635772_bin.28	Bacteria	SZUA-182	SZUA-182	DTGQ01	DTGQ01	DTGQ01	
Sg_SRR29635772_bin.29	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	GWA2-32-17	Ch61	
Sg_SRR29635772_bin.3	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	0-14-0-80-60-11		
Sg_SRR29635772_bin.4	Bacteria	Bacillota_G	SHA-98	UBA4971	UBA4971		
Sg_SRR29635772_bin.6	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	SM23-35	JACRGU01	
Sg_SRR29635772_bin.8	Bacteria	Bacillota_B	Desulfotomaculia	Ammonifexales	Ammonificaceae	SURF-55	
Sg_SRR29635772_bin.9	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	U87765	
Sg_SRR29635773_bin.1	Bacteria	Bacillota_B	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	
Sg_SRR29635773_bin.10	Bacteria	Bacillota_E	DUSP01	DUSP01	DYEP01	DYEP01	
Sg_SRR29635773_bin.11	Bacteria	Bacillota_B	Desulfotomaculia	Ammonifexales	JASEER01		
Sg_SRR29635773_bin.12	Bacteria	Bacillota_D	Dethiobacteria	DTU022	UBA8154	UBA8154	UBA8154 sp020725665
Sg_SRR29635773_bin.13	Bacteria	Bacillota_E	DTU015	DTU015	DUSS01	DUSS01	DUSS01 sp020725645
Sg_SRR29635773_bin.14	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp001556515
Sg_SRR29635773_bin.16	Bacteria	Bacillota_E	JAJYWN01				
Sg_SRR29635773_bin.17	Bacteria	Bacillota_B	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Desulfotomaculum profundi
Sg_SRR29635773_bin.18	Bacteria	Bacillota_E	JACIYH01	JACIYH01	JACIYH01	JACIYH01	JACIYH01 sp014360055
Sg_SRR29635773_bin.19	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	
Sg_SRR29635773_bin.21	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	
Sg_SRR29635773_bin.22	Bacteria	Bacillota_B	Moorellia	PH28-bin88	PH28-bin88	JAGXSE01	
Sg_SRR29635773_bin.23	Bacteria	Bacillota_G	SHA-98	UBA4971	UBA4971		
Sg_SRR29635773_bin.24	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	Afipia broomeae
