MAG	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_Unknown_BV499-003R0001_good_bin.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halovenus	
Sg_Unknown_BV499-003R0001_good_bin.10	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae		
Sg_Unknown_BV499-003R0001_good_bin.11	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halolamina	
Sg_Unknown_BV499-003R0001_good_bin.12	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	
Sg_Unknown_BV499-003R0001_good_bin.14	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halopenitus	Halopenitus malekzadehii
Sg_Unknown_BV499-003R0001_good_bin.15	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	
Sg_Unknown_BV499-003R0001_good_bin.17	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	
Sg_Unknown_BV499-003R0001_good_bin.18	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	
Sg_Unknown_BV499-003R0001_good_bin.2	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis	
Sg_Unknown_BV499-003R0001_good_bin.22	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas sp013839515
Sg_Unknown_BV499-003R0001_good_bin.23	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0001_good_bin.25	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	
Sg_Unknown_BV499-003R0001_good_bin.28	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halodesulfurarchaeum	
Sg_Unknown_BV499-003R0001_good_bin.29	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halodesulfurarchaeum	
Sg_Unknown_BV499-003R0001_good_bin.3	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae		
Sg_Unknown_BV499-003R0001_good_bin.33	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae		
Sg_Unknown_BV499-003R0001_good_bin.37	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0001_good_bin.41	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae		
Sg_Unknown_BV499-003R0001_good_bin.48	Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	M3-22	
Sg_Unknown_BV499-003R0001_good_bin.49	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium bonnevillei
Sg_Unknown_BV499-003R0001_good_bin.5	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	
Sg_Unknown_BV499-003R0001_good_bin.50	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae		
Sg_Unknown_BV499-003R0002_good_bin.15	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Salinibaculum	
Sg_Unknown_BV499-003R0002_good_bin.16	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	
Sg_Unknown_BV499-003R0002_good_bin.17	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0002_good_bin.18	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema	
Sg_Unknown_BV499-003R0002_good_bin.2	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0002_good_bin.22	Archaea	Halobacteriota	Methanonatronarchaeia	Methanonatronarchaeales	Methanonatronarchaeaceae	PZKD01	
Sg_Unknown_BV499-003R0002_good_bin.24	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	
Sg_Unknown_BV499-003R0002_good_bin.30	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	
Sg_Unknown_BV499-003R0002_good_bin.31	Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	B1-Br10-U2g21	
Sg_Unknown_BV499-003R0002_good_bin.32	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae		
Sg_Unknown_BV499-003R0002_good_bin.35	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	
Sg_Unknown_BV499-003R0002_good_bin.36	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas gomsonensis
Sg_Unknown_BV499-003R0002_good_bin.4	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	
Sg_Unknown_BV499-003R0002_good_bin.40	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae		
Sg_Unknown_BV499-003R0002_good_bin.41	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	XH8	
Sg_Unknown_BV499-003R0002_good_bin.42	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0002_good_bin.43	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae		
Sg_Unknown_BV499-003R0002_good_bin.45	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae		
Sg_Unknown_BV499-003R0002_good_bin.47	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae		
Sg_Unknown_BV499-003R0002_good_bin.48	Archaea	Methanobacteriota_B	Thermococci				
Sg_Unknown_BV499-003R0002_good_bin.52	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0002_good_bin.53	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloplanus	
Sg_Unknown_BV499-003R0002_good_bin.54	Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales			
Sg_Unknown_BV499-003R0002_good_bin.55	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	
Sg_Unknown_BV499-003R0002_good_bin.56	Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	Nanosalina	
Sg_Unknown_BV499-003R0002_good_bin.8	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0003_good_bin.11	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	
Sg_Unknown_BV499-003R0003_good_bin.13	Archaea	Thermoplasmatota	Thermoplasmata	Halarchaeoplasmatales	Halarchaeoplasmataceae	Natronoplasma	
Sg_Unknown_BV499-003R0003_good_bin.14	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0003_good_bin.16	Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	B1-Br10-U2g21	
Sg_Unknown_BV499-003R0003_good_bin.19	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halodesulfurarchaeum	
Sg_Unknown_BV499-003R0003_good_bin.2	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	
Sg_Unknown_BV499-003R0003_good_bin.21	Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	B1-Br10-U2g21	
Sg_Unknown_BV499-003R0003_good_bin.25	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halodesulfurarchaeum	
Sg_Unknown_BV499-003R0003_good_bin.3	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0003_good_bin.4	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0003_good_bin.5	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halovenus	
Sg_Unknown_BV499-003R0003_good_bin.6	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halapricum	Halapricum sp025517565
