MAG,Domain,Phylum,Class,Order,Family,Genus,Species
Sg_CRR933424_bin.40,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Croceibacterium,Unassigned
Sg_CRR933424_bin.41,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Unassigned
Sg_CRR933424_bin.42,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium denitrificans
Sg_CRR933424_bin.44,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,28-YEA-48,Unassigned
Sg_CRR933424_bin.45,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pigmentiphaga,Unassigned
Sg_CRR933424_bin.46,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Belnapia,Unassigned
Sg_CRR933424_bin.48,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,Acidovorax sp002176815
Sg_CRR933424_bin.49,Bacteria,Pseudomonadota,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae,Immundisolibacter,Immundisolibacter sp014359565
Sg_CRR933424_bin.5,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes
Sg_CRR933424_bin.50,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ramlibacter,Unassigned
Sg_CRR933424_bin.51,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,Unassigned,Unassigned
Sg_CRR933424_bin.52,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,UBA7672,Unassigned
