"genome","Occupancy","Mean_Relative_Abundance"
"Sg_CRR933394_bin.11",4.3956043956044,0.0183816512976702
"Sg_CRR933394_bin.12",4.3956043956044,0.0155454906097663
"Sg_CRR933394_bin.13",8.79120879120879,0.0282757343196449
"Sg_CRR933394_bin.14",3.2967032967033,0.220862012399655
"Sg_CRR933394_bin.16",7.69230769230769,0.0192301523200584
"Sg_CRR933394_bin.18",2.1978021978022,0.00560280158571301
"Sg_CRR933394_bin.20",1.0989010989011,0.00977070294856347
"Sg_CRR933394_bin.21",4.3956043956044,0.0120588241555453
"Sg_CRR933394_bin.25",7.69230769230769,0.0265234335286678
"Sg_CRR933394_bin.27",3.2967032967033,0.00653202840409172
"Sg_CRR933394_bin.28",2.1978021978022,0.0129348784669135
"Sg_CRR933394_bin.29",15.3846153846154,0.118623572774
"Sg_CRR933394_bin.3",4.3956043956044,0.0039053850890728
"Sg_CRR933394_bin.30",4.3956043956044,0.0471559990528106
"Sg_CRR933394_bin.4",7.69230769230769,0.019596169661053
"Sg_CRR933394_bin.5",2.1978021978022,0.0141198115605531
"Sg_CRR933394_bin.7",19.7802197802198,0.266640559078007
"Sg_CRR933395_bin.1",3.2967032967033,0.0113872816367285
"Sg_CRR933395_bin.11",10.989010989011,0.0868776041732652
"Sg_CRR933395_bin.13",3.2967032967033,0.0109541263408658
"Sg_CRR933395_bin.14",2.1978021978022,0.00543635917769858
"Sg_CRR933395_bin.15",7.69230769230769,0.0126068519422229
"Sg_CRR933395_bin.16",6.59340659340659,0.00797525921756301
"Sg_CRR933395_bin.17",4.3956043956044,0.0570794523554291
"Sg_CRR933395_bin.19",32.967032967033,0.139215704314021
"Sg_CRR933395_bin.2",13.1868131868132,0.0372054600125845
"Sg_CRR933395_bin.3",3.2967032967033,0.0412801833276463
"Sg_CRR933395_bin.4",1.0989010989011,0.160210043725967
"Sg_CRR933395_bin.5",20.8791208791209,0.558640327475335
"Sg_CRR933395_bin.6",19.7802197802198,0.347412993357785
"Sg_CRR933395_bin.9",5.49450549450549,0.00559557838734694
"Sg_CRR933396_bin.1",16.4835164835165,0.0345237028437588
"Sg_CRR933396_bin.13",42.8571428571429,0.489231757419459
"Sg_CRR933396_bin.14",2.1978021978022,0.00454441863988592
"Sg_CRR933396_bin.16",2.1978021978022,0.00894250283982468
"Sg_CRR933396_bin.17",5.49450549450549,0.0857425297547168
"Sg_CRR933396_bin.19",10.989010989011,0.00856147827002292
"Sg_CRR933396_bin.20",7.69230769230769,0.312245270140453
"Sg_CRR933396_bin.22",1.0989010989011,0.0806868198046278
"Sg_CRR933396_bin.25",5.49450549450549,0.101840874690445
"Sg_CRR933396_bin.27",7.69230769230769,0.207588297989462
"Sg_CRR933396_bin.28",3.2967032967033,0.014908051753473
"Sg_CRR933396_bin.29",7.69230769230769,0.00650843466621651
"Sg_CRR933396_bin.3",7.69230769230769,0.0125135377931967
"Sg_CRR933396_bin.31",16.4835164835165,0.170719945814448
"Sg_CRR933396_bin.33",2.1978021978022,0.0217143113817917
"Sg_CRR933396_bin.35",18.6813186813187,0.135789315844355
"Sg_CRR933396_bin.4",1.0989010989011,0.00298589202485694
"Sg_CRR933396_bin.5",3.2967032967033,0.0100496068978058
"Sg_CRR933396_bin.6",3.2967032967033,0.00486945855746046
"Sg_CRR933396_bin.7",3.2967032967033,0.00287492397393604
"Sg_CRR933396_bin.8",3.2967032967033,0.0246757340605771
"Sg_CRR933396_bin.9",3.2967032967033,0.00507890587063292
"Sg_CRR933397_bin.1",8.79120879120879,0.0263680563619131
"Sg_CRR933397_bin.10",1.0989010989011,0.00814116618919863
"Sg_CRR933397_bin.11",13.1868131868132,0.0378502042927949
"Sg_CRR933397_bin.12",2.1978021978022,0.12168480453674
"Sg_CRR933397_bin.13",19.7802197802198,0.235369337847013
"Sg_CRR933397_bin.14",38.4615384615385,0.0915961850664088
"Sg_CRR933397_bin.15",1.0989010989011,0.00286148722927125
"Sg_CRR933397_bin.20",9.89010989010989,0.14830883819091
"Sg_CRR933397_bin.21",3.2967032967033,0.0381403262214835
"Sg_CRR933397_bin.23",7.69230769230769,0.00862831161882057
"Sg_CRR933397_bin.25",26.3736263736264,0.0510573109995348
"Sg_CRR933397_bin.4",5.49450549450549,0.00361093700826324
"Sg_CRR933397_bin.6",5.49450549450549,0.0378883126577513
"Sg_CRR933397_bin.9",14.2857142857143,0.0121164739198197
"Sg_CRR933398_bin.12",1.0989010989011,0.0140718583112295
"Sg_CRR933398_bin.13",1.0989010989011,0.00320268630987189
"Sg_CRR933398_bin.14",1.0989010989011,0.00439727948598084
"Sg_CRR933398_bin.2",1.0989010989011,0.020303233553889
"Sg_CRR933398_bin.3",7.69230769230769,0.0109337947934586
"Sg_CRR933398_bin.4",3.2967032967033,0.00457279727804475
"Sg_CRR933398_bin.8",3.2967032967033,0.0172566223879561
"Sg_CRR933399_bin.1",2.1978021978022,0.0107135711523375
"Sg_CRR933399_bin.10",1.0989010989011,0.0283402717449976
"Sg_CRR933399_bin.12",3.2967032967033,0.0038339166785292
"Sg_CRR933399_bin.13",13.1868131868132,0.0967718817587981
"Sg_CRR933399_bin.14",7.69230769230769,0.145219030643106
"Sg_CRR933399_bin.16",1.0989010989011,0.00433435614406469
"Sg_CRR933399_bin.17",1.0989010989011,0.0239333136249155
"Sg_CRR933399_bin.18",8.79120879120879,0.019316775222054
"Sg_CRR933399_bin.19",1.0989010989011,0.0370857022727671
"Sg_CRR933399_bin.2",1.0989010989011,0.160795534021974
"Sg_CRR933399_bin.20",3.2967032967033,0.0133084115509523
"Sg_CRR933399_bin.21",1.0989010989011,0.00492885810567247
"Sg_CRR933399_bin.22",7.69230769230769,0.00666633147287364
