"genome","Occupancy","Mean_Relative_Abundance","Domain","Phylum","Class","Order","Family","Genus","Species"
"Sg_CRR933321_bin.1",10.989010989011,0.381769846407417,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azonexus","Unassigned"
"Sg_CRR933321_bin.10",1.0989010989011,0.00228301492509059,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Anaerovoracaceae","UBA1422","Unassigned"
"Sg_CRR933321_bin.12",5.49450549450549,0.00161770202931061,"Bacteria","Margulisbacteria","WOR-1","JAKLHX01","JAKLHX01","CALFCX01","Unassigned"
"Sg_CRR933321_bin.14",7.69230769230769,0.00246364921823298,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Aminidesulfovibrio","Unassigned"
"Sg_CRR933321_bin.15",3.2967032967033,0.00869040866441904,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Anaerovoracaceae","MT110","Unassigned"
"Sg_CRR933321_bin.18",9.89010989010989,0.00787982503620542,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Cupidesulfovibrio","Cupidesulfovibrio sp000226255"
"Sg_CRR933321_bin.2",1.0989010989011,0.0011442022426118,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Acidaminobacteraceae","Unassigned","Unassigned"
"Sg_CRR933321_bin.24",12.0879120879121,0.00390477531874721,"Bacteria","Patescibacteria","Paceibacteria","Paceibacterales","UBA5738","Unassigned","Unassigned"
"Sg_CRR933321_bin.27",19.7802197802198,0.00627910713151517,"Bacteria","Patescibacteria","Microgenomatia","UBA1406","GWC2-37-13","RSWP21","Unassigned"
"Sg_CRR933321_bin.28",8.79120879120879,0.0343269981201512,"Bacteria","Spirochaetota","Spirochaetia","Treponematales","Rectinemataceae","JAJTBL01","Unassigned"
"Sg_CRR933321_bin.29",2.1978021978022,0.00937991288443318,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tenuifilaceae","MWFE01","Unassigned"
"Sg_CRR933321_bin.3",13.1868131868132,0.00187895322854307,"Bacteria","Patescibacteria","Microgenomatia","UBA1406","GWC2-37-13","RSWP21","Unassigned"
"Sg_CRR933321_bin.36",18.6813186813187,0.067058094621312,"Bacteria","Patescibacteria","Paceibacteria","Paceibacterales","UBA5633","CALMWW01","CALMWW01 sp937870835"
"Sg_CRR933321_bin.37",13.1868131868132,0.00438625419725007,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","Ochrobactrum intermedium"
"Sg_CRR933321_bin.4",15.3846153846154,0.00453685467039227,"Bacteria","Patescibacteria","Paceibacteria","UBA6257","UBA6257","Unassigned","Unassigned"
"Sg_CRR933321_bin.41",1.0989010989011,0.000703601432507678,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Thermotaleaceae","Unassigned","Unassigned"
"Sg_CRR933321_bin.42",3.2967032967033,0.0021757864770155,"Archaea","Iainarchaeota","Iainarchaeia","Iainarchaeales","SKW153","SKW153","Unassigned"
"Sg_CRR933321_bin.44",6.59340659340659,0.0114408579936167,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","UBA6016","UBA6016","Unassigned"
"Sg_CRR933321_bin.45",9.89010989010989,0.181068711522596,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuricystis","Unassigned"
