	CRR933318	CRR933319	CRR933320	CRR933321	CRR933322	CRR933323	CRR933324	CRR933325	CRR933393	CRR933394	CRR933395	CRR933396	CRR933397	CRR933398	CRR933399	CRR933400	CRR933401	CRR933402	CRR933403	CRR933404	CRR933405	CRR933406	CRR933407	CRR933408	CRR933409	CRR933410	CRR933411	CRR933412	CRR933413	CRR933414	CRR933415	CRR933416	CRR933417	CRR933418	CRR933419	CRR933420	CRR933421	CRR933422	CRR933423	CRR933424	CRR933425	CRR933426	CRR933427	CRR933428	CRR933429	CRR933430	CRR933431	CRR933432	CRR933433	CRR933434	CRR933435	CRR933436	CRR933437	CRR933438	CRR933439	CRR933440	CRR933441	CRR933442	CRR933443	SRR10302630	SRR10302631	SRR10302632	SRR10302633	SRR12344465	SRR12344466	SRR12344468	SRR13427962	SRR13427963	SRR13427964	SRR13427965	SRR13427966	SRR13427967	SRR13427968	SRR13427969	SRR13427970	SRR13427971	SRR1976948	SRR1977249	SRR1977304	SRR1977357	SRR1977365	SRR5352271	SRR5352272	SRR5352273	Unknown_BV499.003R0001_good	Unknown_BV499.003R0002_good	Unknown_BV499.003R0003_good	Unknown_BV499.003R0004_good	Unknown_BV499.003R0006_good	Unknown_BV499.003R0007_good	Unknown_BV499.003R0009_good
Sg_CRR933320_bin.26	0	0	487.44562	0	0	0	0	0	110.24879	0	275.78143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.754265	0	0	0	0	0	71.77187	0	0	0	0	0	0	263.46286	0	0	0	0	105.328125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933320_bin.3	0	0	38980.984	0	0	0	8.174314	8.967305	376.16928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933320_bin.30	0	0	5020.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933320_bin.33	0	0	729.10077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.3981	0	7.6155643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933320_bin.34	0	0	1465.7408	0	0	0	45.518936	21.341274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.90796	0	1485.918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933320_bin.35	0	0	1811.7997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933320_bin.39	37402.125	237.47063	19462.297	0	23.815136	94.57259	0	9.985918	0	192.81091	0	0	0	0	0	0	0	0	3267.1946	1182.8866	208.30064	0	0	0	0	0	1575.998	0	1057.2228	0	0	0	0	450.75095	0	0	0	0	0	0	0	0	0	0	0	0	0	271.5517	392.7907	1673.4609	0	16.602795	0	0	288.48938	17.962555	171.93845	186.5527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933320_bin.41	0	0	993.93634	0	0	0	144.32445	0	237.7591	0	393.83197	0	1541.4822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.30688	361.08978	608.29016	0	0	0	2724.622	2574.0627	130.99098	0	0	0	0	56.23235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933320_bin.5	265433.16	58.664307	15023.528	52.289444	37.28159	48.239838	6.0011606	31.735937	0	286.98044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4383.0776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933320_bin.6	0	0	1865.9763	0	0	0	0	0	0	0	0	0	0	0	475.63272	0	0	222.38184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3165.7815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
