"sample","Phylum","value","group","depth","group_depth","country","BioProject","dominant_phylum"
"SRR10302630","Bacteroidota",0.059978939,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302630","Campylobacterota",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302630","Desulfobacterota",0.676836806,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302630","Halobacteriota",2.64002621,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302630","Methanobacteriota",22.3710549,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302630","Omnitrophota",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302630","Others",4.96708221,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302630","Patescibacteria",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302630","Pseudomonadota",0.767648362,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Actinomycetota",0.056922252,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Bacillota",56.959964013,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Bacteroidota",0.167499698,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Campylobacterota",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Desulfobacterota",1.021853244,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Halobacteriota",0.96759498,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Methanobacteriota",8.153367918,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Omnitrophota",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Others",30.703777523,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Patescibacteria",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302631","Pseudomonadota",1.969020368,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Actinomycetota",0.048245537,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Bacillota",84.963304002,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Bacteroidota",0.14128961,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Campylobacterota",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Desulfobacterota",0.032945357,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Halobacteriota",0.667657058,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Methanobacteriota",0.204084154,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Omnitrophota",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Others",13.875294968,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Patescibacteria",0.009739514,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302632","Pseudomonadota",0.057439797,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Actinomycetota",0.02159359,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Bacillota",96.094788865,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Bacteroidota",0.032181414,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Campylobacterota",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Desulfobacterota",0.118760738,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Halobacteriota",1.081853868,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Methanobacteriota",1.575810953,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Omnitrophota",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Others",0.960536107,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Patescibacteria",0,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR10302633","Pseudomonadota",0.114474462,"oil",3350,"E","USA","PRJNA578106","Bacillota"
"SRR12344465","Actinomycetota",0.257506703,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344465","Bacillota",9.924064518,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344465","Bacteroidota",0.967505273,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344465","Campylobacterota",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344465","Desulfobacterota",1.991108945,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344465","Halobacteriota",86.18281161,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344465","Methanobacteriota",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344465","Omnitrophota",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344465","Others",0.655137442,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344465","Patescibacteria",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344465","Pseudomonadota",0.021865513,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Actinomycetota",6.94833575,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Bacillota",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Bacteroidota",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Campylobacterota",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Desulfobacterota",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Halobacteriota",34.689672348,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Methanobacteriota",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Omnitrophota",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Others",58.3619919,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Patescibacteria",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344466","Pseudomonadota",0,"oil",1450,"C","USA","PRJNA613490","Halobacteriota"
"SRR12344468","Actinomycetota",69.57208887,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR12344468","Bacillota",5.343608577,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR12344468","Bacteroidota",0,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR12344468","Campylobacterota",0,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR12344468","Desulfobacterota",2.100447145,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR12344468","Halobacteriota",20.332550897,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR12344468","Methanobacteriota",0,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR12344468","Omnitrophota",0,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR12344468","Others",0,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR12344468","Patescibacteria",0,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR12344468","Pseudomonadota",2.651304504,"oil",1450,"C","USA","PRJNA613490","Actinomycetota"
"SRR13427962","Actinomycetota",0,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427962","Bacillota",1.074045314,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427962","Bacteroidota",0.025961343,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427962","Campylobacterota",0.023965533,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427962","Desulfobacterota",0.036056537,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427962","Halobacteriota",0.100894115,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427962","Methanobacteriota",0,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427962","Omnitrophota",1.805058325,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427962","Others",2.812164377,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427962","Patescibacteria",94.090699837,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
